Treaty Name,Date Signed,Countries Signed,Countries Ratified,Date into Force,,Reason
International Convention on the Suppression of Acts of Nuclear Terrorism,14-Sep-05,115 Signatories,16 not yet ratified,7-Jul-07,Defense,"It criminalizes the planning, threatening, or carrying out acts of nuclear terrorism"
Central Asia Nuclear-Weapon-Free-Zone (CANWFZ),8-Sep-06,"Kasakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan",,21-Mar-09,Complete Ban,"cannot develop, acquire, possess, or control any nuclear weapon or nuclear explosive device, or carry out nuclear weapon tests. They also pledge to prevent nuclear explosions."
Treaty between The United States of America and the Russian Federation on Measures for the Further Reduction and Limitation of Strategic Offensive Arms (New START),8-Apr-10,"Russia, USA",,5-Feb-11,Limitation,"New START is the most recent agreement for nuclear arms reduction between the United States and Russia, establishing a limit on deployed strategic warheads"
Treaty on the Prohibition of Nuclear Weapons,20-Sep-17,58 Signatories,7 Ratifications,,Complete Ban,"The Treaty on the Prohibition of Nuclear Weapons bans the use, possession, development, testing, deployment and transfer of nuclear weapons under international law."
Proposed Fissile Material (Cut-off) Treaty (FMCT),tbd,,,,Limitation,The proposed treaty is intended to prohibit the production of fissile material
Proposed Internationally Legally-Binding Negative Security Assurances (NSAs),tbd,,,,Defense,NSAs are the promise of nuclear-weapon States not to use or threaten nuclear weapons against non-nuclear-weapon States.
Proposed Nuclear Weapons Convention (NWC),tbd,,,,Complete Ban,"The proposed NWC, modeled on the CWC and BTWC, is intended to prohibit the development, testing, production, transfer, use and threat of use of nuclear weapons by all parties."
Proposed Prevention of an Arms Race in Space (PAROS) Treaty,tbd,,,,Defense,"A PAROS treaty would build on the efforts of the 1967 Outer Space Treaty to preserve space for peaceful uses by committing States Parties to refrain from placing objects carrying any type of weapon into orbit, installing weapons on celestial bodies, and threatening to use force against objects in outer space."
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,"Of the 44 States included in Annex 2 required for entry into force of the CTBT, all have signed with the exceptions of the Democratic People's Republic of Korea (DPRK), India, and Pakistan. Five of the 44 Annex 2 States have signed but not ratified the CTBT; they are China, Egypt, Iran, Israel, and the United States. The United States and China are the only remaining NPT Nuclear Weapon States that have not ratified the CTBT.",,,
