,ngram,count
1483,i don't want your body,22
2116,this must be my dream,15
1541,your body i don't want,14
1846,sound i know the sound,14
1540,want your body i don't,14
1542,body i don't want your,14
1845,the sound i know the,14
1844,know the sound i know,14
1843,i know the sound i,14
1837,i know when you're around,14
1539,don't want your body i,14
1847,i know the sound of,14
1848,know the sound of your,14
1849,the sound of your heart,14
39,i just had a change,13
2682,loving someone oh oh loving,13
2683,someone oh oh loving someone,13
40,just had a change of,13
41,had a change of heart,13
1863,'cause i know the sound,12
1836,well i know when you're,12
1860,when you're around 'cause i,12
1861,you're around 'cause i know,12
1862,around 'cause i know the,12
1859,know when you're around 'cause,12
2687,someone yeah you should be,11
2686,loving someone yeah you should,11
2684,oh oh loving someone yeah,11
2685,oh loving someone yeah you,11
2678,yeah you should be loving,10
2679,you should be loving someone,10
2680,should be loving someone oh,10
2681,be loving someone oh oh,10
1853,heart well i know when,9
466,how can i find myself?,9
465,then how can i find,9
2377,i'm not giving it up,9
1850,sound of your heart well,9
1852,your heart well i know,9
1851,of your heart well i,9
821,i'd love to go to,8
822,love to go to paris,8
272,early early early early early,8
820,how i'd love to go,8
1313,she's so american she's american,7
1311,teeth then she's so american,7
1312,then she's so american she's,7
1305,says i've got to fix,7
1310,my teeth then she's so,7
1308,to fix my teeth then,7
180,a change of heart i,7
823,to go to paris again,7
1307,got to fix my teeth,7
1306,i've got to fix my,7
1304,she says i've got to,7
1309,fix my teeth then she's,7
1294,just don't eat and we're,7
1293,we just don't eat and,7
1291,it cause we just don't,6
1289,she likes it cause we,6
1290,likes it cause we just,6
1302,american if she says i've,6
1292,cause we just don't eat,6
1301,she's american if she says,6
1303,if she says i've got,6
1484,don't want your body but,6
1288,if she likes it cause,6
275,early early monogamy there isn't,6
276,early monogamy there isn't much,6
242,of heart i just had,6
241,change of heart i just,6
469,find myself? if i'm lost,6
468,i find myself? if i'm,6
243,heart i just had a,6
467,can i find myself? if,6
2155,make love when you fly,5
2476,giving it up i'm not,5
2154,can't make love when you,5
2153,we can't make love when,5
2156,love when you fly around,5
2157,when you fly around me,5
2158,you fly around me baby,5
2118,be my dream wide awake,5
2135,you boy wake me from,5
2540,if that's what you wanna,5
2477,it up i'm not giving,5
2478,up i'm not giving it,5
2120,dream wide awake before i,5
2117,must be my dream wide,5
2541,that's what you wanna do,5
2542,what you wanna do oh,5
277,monogamy there isn't much early,5
278,there isn't much early early,5
279,isn't much early early monogamy,5
280,much early early monogamy there,5
2119,my dream wide awake before,5
2121,wide awake before i found,5
2134,for you boy wake me,5
2140,my dream what does all,5
2133,wait for you boy wake,5
2132,can't wait for you boy,5
2136,boy wake me from my,5
2130,dream i can't wait for,5
2129,my dream i can't wait,5
2128,be my dream i can't,5
2127,must be my dream i,5
2126,you this must be my,5
2125,found you this must be,5
2137,wake me from my dream,5
2138,me from my dream what,5
2124,i found you this must,5
2141,dream what does all our,5
2122,awake before i found you,5
2142,what does all our love,5
2143,does all our love amount,5
2144,all our love amount to?,5
2145,our love amount to? this,5
2146,love amount to? this must,5
2147,amount to? this must be,5
2148,to? this must be my,5
2149,must be my dream we,5
2150,be my dream we can't,5
2151,my dream we can't make,5
2152,dream we can't make love,5
2123,before i found you this,5
2139,from my dream what does,5
2131,i can't wait for you,5
1623,someone you love? get someone,4
2539,yeah if that's what you,4
1638,my soul 'cause we're never,4
1639,soul 'cause we're never alone,4
472,if i'm lost now then,4
473,i'm lost now then how,4
474,lost now then how can,4
475,now then how can i,4
2544,wanna do oh yeah? no,4
2543,you wanna do oh yeah?,4
256,turn the big light off,4
1636,give you my soul 'cause,4
255,go turn the big light,4
2537,love me yeah if that's,4
928,and how i'd love to,4
927,again and how i'd love,4
926,paris again and how i'd,4
925,to paris again and how,4
2475,not giving it up i'm,4
1622,get someone you love? get,4
1637,you my soul 'cause we're,4
2538,me yeah if that's what,4
1635,can't give you my soul,4
1631,that get money i can't,4
1624,you love? get someone you,4
