,ngram,count
1224,i'd love it,19
1225,love it if,19
1226,it if we,19
1227,if we made,19
1228,we made it,19
463,always wanna die,18
1148,not it's not,12
1147,it's not it's,12
1223,and i'd love,12
1002,it's not living,10
1005,if it's not,10
1006,it's not with,10
1007,not with you,10
1004,living if it's,10
1003,not living if,10
158,give yourself a,9
528,die always wanna,9
527,wanna die always,9
873,inside your mind,8
1275,it and i'd,8
462,i always wanna,8
1274,made it and,8
729,and say something,7
164,yourself a try?,7
162,won't you give,7
464,wanna die sometimes,7
166,try? won't you,7
165,a try? won't,7
163,you give yourself,7
589,these feelings i've,6
587,what about these,6
2058,be more than,6
1229,made it yes,6
2130,time three time,6
1230,it yes i'd,6
1231,yes i'd love,6
588,about these feelings,6
590,feelings i've got?,6
733,would you please,6
701,me lay down?,5
700,help me lay,5
725,in the city,5
723,being young in,5
662,scared of dying,5
727,city believe and,5
728,believe and say,5
989,you if i,5
981,all i do,5
982,i do is,5
983,do is sit,5
726,the city believe,5
984,is sit and,5
466,sometimes i always,4
2040,called her one,4
2041,her one time,4
2038,i only called,4
2052,it was three,4
2039,only called her,4
2042,one time maybe,4
2053,was three times,4
914,your mind inside,4
2051,think it was,4
2044,maybe it was,4
2050,don't think it,4
1744,very very very,4
2043,time maybe it,4
465,die sometimes i,4
2049,i don't think,4
2048,times? i don't,4
2047,two times? i,4
2045,it was two,4
2046,was two times?,4
2077,three times i,4
2078,times i didn't,4
915,mind inside your,4
461,and i always,4
699,this help me,4
734,you please listen!,4
1145,with you it's,4
1146,you it's not,4
724,young in the,4
2131,three time four,4
2132,time four time,4
1010,[verse 2] and,4
2112,two-time two-time you,4
698,will this help,4
2079,i didn't mean,4
2081,mean to two-time,4
2080,didn't mean to,4
697,oh will this,4
988,about you if,3
2111,to two-time two-time,3
2063,i think we,3
985,sit and think,3
986,and think about,3
987,think about you,3
2062,times i think,3
990,if i knew,3
2061,four times i,3
991,i knew what,3
2060,than four times,3
992,knew what you'd,3
993,what you'd do,3
995,do collapse my,3
994,you'd do collapse,3
2059,more than four,3
2066,need to rewind,3
998,veins wearing beautiful,3
999,wearing beautiful shoes,3
2057,can't be more,3
167,won't you give?,3
1001,shoes it's not,3
1000,beautiful shoes it's,3
2076,than three times,3
2075,more than three,3
2074,must be more,3
2073,sometimes must be,3
2072,boy sometimes must,3
2071,that boy sometimes,3
2070,text that boy,3
2069,you text that,3
2068,rewind you text,3
2067,to rewind you,3
460,[chorus] and i,3
2065,we need to,3
2064,think we need,3
591,i've got? we,3
996,collapse my veins,3
2056,it can't be,3
685,skin is fire,3
739,we can see,3
722,fiver? being young,3
2034,swear that i,3
2033,i swear that,3
669,am i a,3
670,i a liar?,3
721,a fiver? being,3
740,can see it's,3
684,my skin is,3
1084,i just can't,3
3,be my mistake,3
748,so we know,3
747,say so we,3
2055,times it can't,3
746,bleed say so,3
745,you bleed say,3
744,when you bleed,3
743,missing when you,3
742,it's missing when,3
1219,has failed us,3
661,i'm scared of,3
83,[verse 2] i,3
741,see it's missing,3
608,more in love,3
2166,'cause i know,3
2054,three times it,3
2170,you are mine,3
877,your mind [verse,3
997,my veins wearing,3
592,got? we got,3
593,we got it,3
594,got it wrong,3
595,it wrong and,3
596,wrong and you,3
597,and you said,3
598,you said you'd,3
599,said you'd had,3
600,you'd had enough,3
603,i've got? i,3
604,got? i couldn't,3
605,i couldn't be,3
606,couldn't be more,3
607,be more in,3
