,ngram,count
1736,she way out,29
34,gonna quit it,21
33,never gonna quit,20
32,we're never gonna,19
1863,do you talk,16
35,quit it no,16
31,no we're never,16
1862,why do you,16
934,i've never seen,14
1057,change in pressure,13
274,they're just girls,13
2067,love then you,12
1747,out she way,12
1746,way out she,12
1739,never seen her,12
1738,out i've never,12
2063,yeah you wanna,12
2066,find love then,12
2072,the city is,12
2064,you wanna find,12
2065,wanna find love,12
2071,where the city,12
2070,know where the,12
2069,you know where,12
2068,then you know,12
1737,way out i've,12
2074,is yeah you,9
2073,city is yeah,9
468,why don't you,9
1531,a boyfriend anyway,9
1530,got a boyfriend,9
1529,she's got a,9
30,petticoats no we're,8
28,under our petticoats,8
27,hidden under our,8
36,it no we're,8
1864,you talk so,8
1865,talk so loud?,8
1868,you talk so?,8
26,guns hidden under,8
29,our petticoats no,8
1742,dance moves dancing,6
1748,seen her talk,6
1744,dancing like she,6
1068,broken veins say,6
1067,my broken veins,6
1743,moves dancing like,6
1740,seen her dance,6
1741,her dance moves,6
1750,talk but i'm,6
1294,you look so,6
1867,loud? why do,6
1866,so loud? why,6
169,seriously better go,6
1749,her talk but,6
1745,like she way,6
1751,but i'm telling,6
472,my heart out?,6
464,you and i,6
465,and i tonight,6
466,i tonight why,6
467,tonight why don't,6
469,don't you figure,6
1752,i'm telling you,6
463,just you and,6
471,figure my heart,6
470,you figure my,6
1754,you she way,6
462,it's just you,6
1753,telling you she,6
647,has he got,5
648,he got enough,5
612,you know i,5
294,just girls they're,5
1735,because she way,5
295,girls they're just,5
1299,look so cool,5
1303,cool cool cool,5
280,bright uptight just,4
174,feds are here,4
175,are here you,4
176,here you know,4
20,we go where,4
275,just girls breaking,4
279,eyes bright uptight,4
278,hearts eyes bright,4
276,girls breaking hearts,4
172,said the feds,4
277,breaking hearts eyes,4
173,the feds are,4
164,i think we,4
171,go said the,4
163,well i think,4
1551,boyfriend anyway she's,4
1552,anyway she's got,4
445,"she said ""it's",4
1596,you say no,4
797,all over the,4
777,on the floor,4
282,just girls but,4
170,better go said,4
165,think we better,4
166,we better go,4
1871,talk so? [verse,4
1382,for crying out,4
1169,you one more,4
1168,give you one,4
281,uptight just girls,4
1351,and you're losing,4
283,girls but she,4
651,money to spend?,4
1301,cool you look,4
25,got guns hidden,4
617,is there somebody,4
618,there somebody who,4
619,somebody who can,4
22,where nobody knows,4
21,go where nobody,4
82,with guns hidden,4
284,but she can't,4
86,we're dressed in,4
87,dressed in black,4
649,got enough money,4
650,enough money to,4
291,if she's 17,4
91,head to toe,4
99,you're never gonna,4
1352,you're losing your,4
285,she can't be,4
286,can't be what,4
287,be what you,4
178,know seriously better,4
289,you need if,4
290,need if she's,4
288,what you need,4
292,she's 17 they're,4
293,17 they're just,4
1404,mouth now i,3
1408,stop myself around,3
1389,i can't be,3
1390,can't be found,3
1394,you we get,3
1395,we get back,3
1396,get back to,3
1409,myself around you,3
1397,back to my,3
1398,to my house,3
1399,my house your,3
221,[pre-chorus] i said,3
1400,house your hands,3
1406,i just stop,3
1407,just stop myself,3
1391,be found with,3
1393,with you we,3
1401,your hands my,3
1392,found with you,3
1402,hands my mouth,3
1403,my mouth now,3
1078,bleed the same,3
1508,and she said,3
298,[verse 2] a,3
621,can watch you?,3
620,who can watch,3
616,you is there,3
1935,thinking lots about,3
1934,been thinking lots,3
1933,i've been thinking,3
474,out? it's just,3
473,heart out? it's,3
461,[chorus] it's just,3
1861,[chorus] why do,3
