motivation,target,incidents,offenses,victims,offenders
Ethnicity,White,720,876,909,831
Ethnicity,Black,1739,2122,2220,1588
Ethnicity,Native American,154,161,169,118
Ethnicity,Asian,113,131,137,123
Ethnicity,Native Hawaiian or Other Pacific Islander,9,9,9,8
Ethnicity,Multiple Races Group,136,178,190,104
Ethnicity,Arab,51,56,57,60
Ethnicity,Hispanic or Latino,344,449,483,380
Ethnicity,Other Race/Ethnicity/Ancestry,223,247,252,171
Religion,Jewish,684,834,862,421
Religion,Catholic,62,63,65,45
Religion,Protestant,15,20,22,12
Religion,Islamic (Muslim),307,381,388,243
Religion,Other Religion,74,90,91,53
Religion,Multiple Religions Group,34,48,48,20
Religion,Mormon,7,8,8,3
Religion,Jehovah's Witness,2,3,3,1
Religion,Eastern Orthodox,28,28,30,23
Religion,Other Christian,36,37,39,13
Religion,Buddhist,1,1,1,0
Religion,Hindu,10,12,12,11
Religion,Sikh,7,7,8,10
Religion,Atheism/Agnosticism/etc.,6,6,7,4
Orientation,Gay (Male),675,765,787,806
Orientation,Lesbian,124,141,147,127
Orientation,"Homosexual,Bisexual or Transgender",234,262,271,254
Orientation,Heterosexual,20,23,23,13
Orientation,Bisexual,23,27,27,25
Disability,Physical,26,29,30,29
Disability,Mental,44,47,47,38
Gender,Male,7,10,10,7
Gender,Female,24,26,26,21
Identity,Transgender,105,111,111,149
Identity,Gender Non-Conforming,19,19,20,16
Multiple,Multiple Bias,58,94,106,43
